city,state,region,start,end,seriesId,MetroArea
New York City,NY,NE,1978,2023,APUS12A72610,"New York-Newark-Jersey City, NY-NJ-PA"
Los Angeles,CA,WE,1978,2017,APUA42172610,"Los Angeles-Riverside-Orange County, CA"
Chicago,IL,MW,1978,2023,APUS23A72610,"Chicago-Naperville-Elgin, IL-IN-WI"
Houston,TX,SW,1978,2023,APUS37B72610,"Houston-The Woodlands-Sugar Land, TX"
Phoenix,AZ,SW,2018,2023,APUS48A72610,"Phoenix-Mesa-Scottsdale, AZ"
Philadelphia,PA,NE,1978,2023,APUS12B72610,"	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
San Diego,CA,WE,1978,2023,APUS49E72610,"San Diego-Carlsbad, CA"
Dallas,TX,SW,1978,2023,APUS37A72610,"Dallas-Fort Worth-Arlington, TX"
Seattle,WA,WE,1978,2023,APUS49D72610,Seattle-Tacoma-Bellevue WA
San Francisco,CA,WE,1978,2023,APUS49B72610,"San Francisco-Oakland-Hayward, CA"
Denver,CO,WE,1978,2023,APUS48B72610,"Denver-Aurora-Lakewood, CO"
Washington,DC,SE,1978,1997,APUA31572610,"Washington, DC-MD-VA"
Detroit,MI,MW,1978,2023,APUS23B72610,"Detroit-Warren-Dearborn, MI"
Portland,OR,WE,1978,1986,APUA42572610,"Portland-Salem, OR-WA"
Boston,MA,NE,1978,2023,APUS11A72610,"Boston-Cambridge-Newton, MA-NH"
Baltimore,MD,SE,1998,2017,APUA31172610,"Washington-Baltimore, DC-MD-VA-WV"
Milwaukee,WI,MW,1978,1986,APUA21272610,"Milwaukee-Racine, WI"
Kansas City,MO,MW,1978,1986,APUA21472610,"Kansas City, MO-KS"
Atlanta,GA,SE,1978,2023,APUS35C72610,"Atlanta-Sandy Springs-Roswell, GA"
Long Beach,CA,WE,1978,2023,APUS49A72610,"Los Angeles-Long Beach-Anaheim, CA"
Miami,FL,SE,1978,2023,APUS35B72610,"Miami-Fort Lauderdale-West Palm Beach, FL"
Minneapolis,MN,MW,1978,2023,APUS24A72610,"Minneapolis-St.Paul-Bloomington, MN-WI"
