make,model,acceleration,topspeed,battery,erange_real,efficiency,fastcharge_speed,country_uk,img1_url,hrefs
Tesla,Model Y Long Range Dual Motor,5.0 sec,217 km/h,75,435 km,172 Wh/km,670,"£52,990",https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb@2x.jpg,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-Dual-Motor
Tesla,Model 3 ,6.1 sec,225 km/h,57.5,405 km,142 Wh/km,680,"£42,990",https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb@2x.jpg,https://ev-database.org/car/1555/Tesla-Model-3
Tesla,Model Y ,6.9 sec,217 km/h,57.5,350 km,164 Wh/km,580,"£44,990",https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb@2x.jpg,https://ev-database.org/car/1743/Tesla-Model-Y
Tesla,Model 3 Long Range Dual Motor,4.4 sec,233 km/h,75,485 km,155 Wh/km,750,"£50,990",https://ev-database.org/img/auto/Tesla_Model_3_2021/Tesla_Model_3_2021-01-thumb@2x.jpg,https://ev-database.org/car/1591/Tesla-Model-3-Long-Range-Dual-Motor
BYD,ATTO 3 ,7.3 sec,160 km/h,60.5,325 km,186 Wh/km,360,"£36,490",https://ev-database.org/img/auto/BYD_ATTO_3/BYD_ATTO_3-01-thumb@2x.jpg,https://ev-database.org/car/1782/BYD-ATTO-3
MG,MG4 Electric 64 kWh,7.9 sec,160 km/h,61.7,360 km,171 Wh/km,440,"£29,495",https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb@2x.jpg,https://ev-database.org/car/1708/MG-MG4-Electric-64-kWh
Tesla,Model S Plaid,2.1 sec,282 km/h,95,560 km,170 Wh/km,780,"* £115,000",https://ev-database.org/img/auto/Tesla_Model_S_2021/Tesla_Model_S_2021-01-thumb@2x.jpg,https://ev-database.org/car/1405/Tesla-Model-S-Plaid
Tesla,Model Y Performance,3.7 sec,250 km/h,75,415 km,181 Wh/km,640,"£59,990",https://ev-database.org/img/auto/Tesla_Model_Y/Tesla_Model_Y-01-thumb@2x.jpg,https://ev-database.org/car/1183/Tesla-Model-Y-Performance
Kia,Niro EV ,7.8 sec,167 km/h,64.8,385 km,168 Wh/km,390,"£37,295",https://ev-database.org/img/auto/Kia-NiroEV-2022/Kia-NiroEV-2022-01-thumb@2x.jpg,https://ev-database.org/car/1666/Kia-Niro-EV
BMW,i4 eDrive40,5.7 sec,190 km/h,80.7,515 km,157 Wh/km,800,"£57,890",https://ev-database.org/img/auto/BMW_i4_eDrive40/BMW_i4_eDrive40-01-thumb@2x.jpg,https://ev-database.org/car/1252/BMW-i4-eDrive40
BMW,iX xDrive40,6.1 sec,200 km/h,71,360 km,197 Wh/km,480,"£69,905",https://ev-database.org/img/auto/BMW_iX_2022/BMW_iX_2022-01-thumb@2x.jpg,https://ev-database.org/car/1472/BMW-iX-xDrive40
BMW,iX1 xDrive30,5.6 sec,180 km/h,64.7,370 km,175 Wh/km,530,"£53,245",https://ev-database.org/img/auto/BMW_iX1_2022/BMW_iX1_2022-01-thumb@2x.jpg,https://ev-database.org/car/1701/BMW-iX1-xDrive30
BMW,iX3 ,6.8 sec,180 km/h,74,385 km,192 Wh/km,520,"£64,165",https://ev-database.org/img/auto/BMW_iX3_2022/BMW_iX3_2022-01-thumb@2x.jpg,https://ev-database.org/car/1535/BMW-iX3
Volvo,EX30 Single Motor ER,5.3 sec,180 km/h,64,370 km,173 Wh/km,550,"£38,545",https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb@2x.jpg,https://ev-database.org/car/1910/Volvo-EX30-Single-Motor-ER
Hongqi,E-HS9 99 kWh,4.9 sec,200 km/h,90,370 km,243 Wh/km,430,N/A,https://ev-database.org/img/auto/Hongqi_E-HS9/Hongqi_E-HS9-01-thumb@2x.jpg,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh
BMW,i4 M50,3.9 sec,225 km/h,80.7,450 km,179 Wh/km,700,"£71,085",https://ev-database.org/img/auto/BMW_i4_M50/BMW_i4_M50-01-thumb@2x.jpg,https://ev-database.org/car/1519/BMW-i4-M50
