year,period,periodName,value,seriesId
2023,M05,May,0.219,APUS12A72610
2023,M04,April,0.216,APUS12A72610
2023,M03,March,0.223,APUS12A72610
2023,M02,February,0.237,APUS12A72610
2023,M01,January,0.243,APUS12A72610
2022,M12,December,0.231,APUS12A72610
2022,M11,November,0.232,APUS12A72610
2022,M10,October,0.235,APUS12A72610
2022,M09,September,0.245,APUS12A72610
2022,M08,August,0.249,APUS12A72610
2022,M07,July,0.232,APUS12A72610
2022,M06,June,0.248,APUS12A72610
2022,M05,May,0.241,APUS12A72610
2022,M04,April,0.235,APUS12A72610
2022,M03,March,0.225,APUS12A72610
2022,M02,February,0.196,APUS12A72610
2022,M01,January,0.256,APUS12A72610
2021,M12,December,0.200,APUS12A72610
2021,M11,November,0.207,APUS12A72610
2021,M10,October,0.214,APUS12A72610
2021,M09,September,0.222,APUS12A72610
2021,M08,August,0.226,APUS12A72610
2021,M07,July,0.216,APUS12A72610
2021,M06,June,0.222,APUS12A72610
2021,M05,May,0.214,APUS12A72610
2021,M04,April,0.208,APUS12A72610
2021,M03,March,0.188,APUS12A72610
2021,M02,February,0.219,APUS12A72610
2021,M01,January,0.213,APUS12A72610
2020,M12,December,0.211,APUS12A72610
2020,M11,November,0.201,APUS12A72610
2020,M10,October,0.202,APUS12A72610
2020,M09,September,0.211,APUS12A72610
2020,M08,August,0.209,APUS12A72610
2020,M07,July,0.218,APUS12A72610
2020,M06,June,0.223,APUS12A72610
2020,M05,May,0.199,APUS12A72610
2020,M04,April,0.195,APUS12A72610
2020,M03,March,0.198,APUS12A72610
2020,M02,February,0.201,APUS12A72610
2020,M01,January,0.199,APUS12A72610
2019,M12,December,0.193,APUS12A72610
2019,M11,November,0.197,APUS12A72610
2019,M10,October,0.194,APUS12A72610
2019,M09,September,0.205,APUS12A72610
2019,M08,August,0.202,APUS12A72610
2019,M07,July,0.207,APUS12A72610
2019,M06,June,0.211,APUS12A72610
2019,M05,May,0.194,APUS12A72610
2019,M04,April,0.197,APUS12A72610
2019,M03,March,0.201,APUS12A72610
2019,M02,February,0.196,APUS12A72610
2019,M01,January,0.202,APUS12A72610
2018,M12,December,0.193,APUS12A72610
2018,M11,November,0.194,APUS12A72610
2018,M10,October,0.206,APUS12A72610
2018,M09,September,0.212,APUS12A72610
2018,M08,August,0.208,APUS12A72610
2018,M07,July,0.216,APUS12A72610
2018,M06,June,0.217,APUS12A72610
2018,M05,May,0.210,APUS12A72610
2018,M04,April,0.203,APUS12A72610
2018,M03,March,0.206,APUS12A72610
2018,M02,February,0.198,APUS12A72610
2018,M01,January,0.202,APUS12A72610
2017,M12,December,0.208,APUS12A72610
2017,M11,November,0.200,APUS12A72610
2017,M10,October,0.190,APUS12A72610
2017,M09,September,0.203,APUS12A72610
2017,M08,August,0.201,APUS12A72610
2017,M07,July,0.205,APUS12A72610
2017,M06,June,0.208,APUS12A72610
2017,M05,May,0.202,APUS12A72610
2017,M04,April,0.189,APUS12A72610
2017,M03,March,0.192,APUS12A72610
2017,M02,February,0.194,APUS12A72610
2017,M01,January,0.189,APUS12A72610
2016,M12,December,0.192,APUS12A72610
2016,M11,November,0.178,APUS12A72610
2016,M10,October,0.179,APUS12A72610
2016,M09,September,0.191,APUS12A72610
2016,M08,August,0.191,APUS12A72610
2016,M07,July,0.191,APUS12A72610
2016,M06,June,0.190,APUS12A72610
2016,M05,May,0.177,APUS12A72610
2016,M04,April,0.188,APUS12A72610
2016,M03,March,0.187,APUS12A72610
2016,M02,February,0.182,APUS12A72610
2016,M01,January,0.186,APUS12A72610
2015,M12,December,0.182,APUS12A72610
2015,M11,November,0.186,APUS12A72610
2015,M10,October,0.185,APUS12A72610
2015,M09,September,0.195,APUS12A72610
2015,M08,August,0.198,APUS12A72610
2015,M07,July,0.201,APUS12A72610
2015,M06,June,0.207,APUS12A72610
2015,M05,May,0.192,APUS12A72610
2015,M04,April,0.197,APUS12A72610
2015,M03,March,0.195,APUS12A72610
2015,M02,February,0.220,APUS12A72610
2015,M01,January,0.208,APUS12A72610
2014,M12,December,0.195,APUS12A72610
2014,M11,November,0.198,APUS12A72610
2014,M10,October,0.194,APUS12A72610
2014,M09,September,0.199,APUS12A72610
2014,M08,August,0.204,APUS12A72610
2014,M07,July,0.208,APUS12A72610
2014,M06,June,0.211,APUS12A72610
2014,M05,May,0.205,APUS12A72610
2014,M04,April,0.196,APUS12A72610
2014,M03,March,0.213,APUS12A72610
2014,M02,February,0.207,APUS12A72610
2014,M01,January,0.232,APUS12A72610
2013,M12,December,0.196,APUS12A72610
2013,M11,November,0.191,APUS12A72610
2013,M10,October,0.188,APUS12A72610
2013,M09,September,0.213,APUS12A72610
2013,M08,August,0.197,APUS12A72610
2013,M07,July,0.208,APUS12A72610
2013,M06,June,0.203,APUS12A72610
2013,M05,May,0.193,APUS12A72610
2013,M04,April,0.186,APUS12A72610
2013,M03,March,0.188,APUS12A72610
2013,M02,February,0.196,APUS12A72610
2013,M01,January,0.202,APUS12A72610
2012,M12,December,0.183,APUS12A72610
2012,M11,November,0.188,APUS12A72610
2012,M10,October,0.186,APUS12A72610
2012,M09,September,0.201,APUS12A72610
2012,M08,August,0.194,APUS12A72610
2012,M07,July,0.198,APUS12A72610
2012,M06,June,0.203,APUS12A72610
2012,M05,May,0.191,APUS12A72610
2012,M04,April,0.185,APUS12A72610
2012,M03,March,0.186,APUS12A72610
2012,M02,February,0.186,APUS12A72610
2012,M01,January,0.189,APUS12A72610
2011,M12,December,0.184,APUS12A72610
2011,M11,November,0.188,APUS12A72610
2011,M10,October,0.191,APUS12A72610
2011,M09,September,0.205,APUS12A72610
2011,M08,August,0.200,APUS12A72610
2011,M07,July,0.210,APUS12A72610
2011,M06,June,0.204,APUS12A72610
2011,M05,May,0.197,APUS12A72610
2011,M04,April,0.189,APUS12A72610
2011,M03,March,0.192,APUS12A72610
2011,M02,February,0.191,APUS12A72610
2011,M01,January,0.193,APUS12A72610
2010,M12,December,0.198,APUS12A72610
2010,M11,November,0.196,APUS12A72610
2010,M10,October,0.194,APUS12A72610
2010,M09,September,0.204,APUS12A72610
2010,M08,August,0.204,APUS12A72610
2010,M07,July,0.208,APUS12A72610
2010,M06,June,0.207,APUS12A72610
2010,M05,May,0.203,APUS12A72610
2010,M04,April,0.207,APUS12A72610
2010,M03,March,0.199,APUS12A72610
2010,M02,February,0.196,APUS12A72610
2010,M01,January,0.194,APUS12A72610
2009,M12,December,0.193,APUS12A72610
2009,M11,November,0.195,APUS12A72610
2009,M10,October,0.195,APUS12A72610
2009,M09,September,0.210,APUS12A72610
2009,M08,August,0.206,APUS12A72610
2009,M07,July,0.212,APUS12A72610
2009,M06,June,0.210,APUS12A72610
2009,M05,May,0.188,APUS12A72610
2009,M04,April,0.186,APUS12A72610
2009,M03,March,0.189,APUS12A72610
2009,M02,February,0.186,APUS12A72610
2009,M01,January,0.192,APUS12A72610
2008,M12,December,0.186,APUS12A72610
2008,M11,November,0.170,APUS12A72610
2008,M10,October,0.182,APUS12A72610
2008,M09,September,0.202,APUS12A72610
2008,M08,August,0.235,APUS12A72610
2008,M07,July,0.218,APUS12A72610
2008,M06,June,0.209,APUS12A72610
2008,M05,May,0.182,APUS12A72610
2008,M04,April,0.180,APUS12A72610
2008,M03,March,0.176,APUS12A72610
2008,M02,February,0.183,APUS12A72610
2008,M01,January,0.183,APUS12A72610
2007,M12,December,0.174,APUS12A72610
2007,M11,November,0.172,APUS12A72610
2007,M10,October,0.175,APUS12A72610
2007,M09,September,0.187,APUS12A72610
2007,M08,August,0.191,APUS12A72610
2007,M07,July,0.199,APUS12A72610
2007,M06,June,0.199,APUS12A72610
2007,M05,May,0.176,APUS12A72610
2007,M04,April,0.168,APUS12A72610
2007,M03,March,0.169,APUS12A72610
2007,M02,February,0.164,APUS12A72610
2007,M01,January,0.168,APUS12A72610
2006,M12,December,0.162,APUS12A72610
2006,M11,November,0.153,APUS12A72610
2006,M10,October,0.161,APUS12A72610
2006,M09,September,0.182,APUS12A72610
2006,M08,August,0.184,APUS12A72610
2006,M07,July,0.185,APUS12A72610
2006,M06,June,0.183,APUS12A72610
2006,M05,May,0.151,APUS12A72610
2006,M04,April,0.149,APUS12A72610
2006,M03,March,0.151,APUS12A72610
2006,M02,February,0.150,APUS12A72610
2006,M01,January,0.169,APUS12A72610
2005,M12,December,0.160,APUS12A72610
2005,M11,November,0.170,APUS12A72610
2005,M10,October,0.166,APUS12A72610
2005,M09,September,0.169,APUS12A72610
2005,M08,August,0.167,APUS12A72610
2005,M07,July,0.167,APUS12A72610
2005,M06,June,0.162,APUS12A72610
2005,M05,May,0.145,APUS12A72610
2005,M04,April,0.141,APUS12A72610
2005,M03,March,0.138,APUS12A72610
2005,M02,February,0.140,APUS12A72610
2005,M01,January,0.141,APUS12A72610
2004,M12,December,0.134,APUS12A72610
2004,M11,November,0.136,APUS12A72610
2004,M10,October,0.134,APUS12A72610
2004,M09,September,0.149,APUS12A72610
2004,M08,August,0.155,APUS12A72610
2004,M07,July,0.159,APUS12A72610
2004,M06,June,0.154,APUS12A72610
2004,M05,May,0.135,APUS12A72610
2004,M04,April,0.133,APUS12A72610
2004,M03,March,0.132,APUS12A72610
2004,M02,February,0.141,APUS12A72610
2004,M01,January,0.133,APUS12A72610
2017,M12,December,0.187,APUA42172610
2017,M11,November,0.186,APUA42172610
2017,M10,October,0.187,APUA42172610
2017,M09,September,0.178,APUA42172610
2017,M08,August,0.178,APUA42172610
2017,M07,July,0.178,APUA42172610
2017,M06,June,0.178,APUA42172610
2017,M05,May,0.186,APUA42172610
2017,M04,April,0.186,APUA42172610
2017,M03,March,0.184,APUA42172610
2017,M02,February,0.184,APUA42172610
2017,M01,January,0.184,APUA42172610
2016,M12,December,0.190,APUA42172610
2016,M11,November,0.190,APUA42172610
2016,M10,October,0.222,APUA42172610
2016,M09,September,0.210,APUA42172610
2016,M08,August,0.210,APUA42172610
2016,M07,July,0.210,APUA42172610
2016,M06,June,0.210,APUA42172610
2016,M05,May,0.211,APUA42172610
